citation_key,study,threat_source,user_intent,environment,number_of_tasks,models_evaluated,outcome_definition,intervention_type,scorer,human_baseline,social_harm_category,artifact_availability,distinction_from_our_work
debenedetti2024agentdojo,AgentDojo,Tool-returned prompt injection,Benign,Tool-using agent environment,Dynamic benchmark,Multiple LLM agents,Attack success and utility,Prompt-injection defenses,Programmatic benchmark scorer,None reported in Guide summary,Security and data integrity,Artifact reported,Studies injected instructions rather than deceptive choice architecture and execution-time warnings.
evtimov2025wasp,WASP,Web prompt injection,Benign,Web environment,Not established in Guide summary,Multiple web agents,Attack success,Prompt-injection defenses,Benchmark scorer,None reported in Guide summary,Security and information integrity,Artifact reported,Measures realistic web prompt injection at broader scale rather than safe-versus-unsafe paths under matched warning channels.
kuntz2025osharm,OS-Harm,User misuse; prompt injection; model misbehavior,Mixed,Desktop and web computer use,150,Multiple frontier agents,Safety violation,Evaluation benchmark,Policy and task checks,None reported in Guide summary,Multiple safety and social-harm categories,Artifact reported,Covers broad computer-use harm while our pilot factors benign-goal deceptive paths and deterministic terminal states.
yang2025riosworld,RiOSWorld,User-originated and environmental risk,Mixed,Web and operating-system applications,492,Multiple multimodal agents,Risky completion,Evaluation benchmark,Benchmark checks,None reported in Guide summary,Privacy; financial; policy; safety,Artifact reported,Evaluates broad environmental risk rather than an oracle-triggered execution-time warning intervention.
guo2024redcode,RedCode,Risky code requests and execution,Mixed,Code-agent environment,Not established in Guide summary,Multiple code models,Risky execution or generation,Evaluation benchmark,Structured benchmark checks,None reported in Guide summary,Cybersecurity and operational harm,Artifact reported,Provides structured safety-benchmark construction but not interactive deceptive interfaces.
xing2024android,Android agent weakness,Environmental complexity and constraint failures,Benign,Android environment,Not established in Guide summary,Multiple LLM agents,Task completion and constraint adherence,Evaluation benchmark,Programmatic environment checks,None reported in Guide summary,Privacy and operational constraints,Artifact status not established in Guide summary,Informs scalable task construction and fine-grained failures rather than warning-channel intervention.
yi2025bipia,BIPIA,Indirect prompt injection,Benign,LLM and tool contexts,Not established in Guide summary,Multiple LLMs,Injection success and task utility,Boundary reminders and defenses,Benchmark scorer,None reported in Guide summary,Security and information integrity,Artifact reported,Tests injected instructions and defenses; our interfaces contain deceptive choice architecture without explicit injected commands.
mohammadi2025agentsurvey,Evaluation and Benchmarking of LLM Agents,Survey of evaluation threats,Mixed,Multiple agent environments,Survey,Surveyed systems,Taxonomy of evaluation objectives,Survey,Not applicable,Surveyed literature,Multiple,Not applicable,Structures evidence dimensions but contributes no matched warning experiment.
yu2025trustworthysurvey,Trustworthy LLM Agents survey,Intrinsic and extrinsic threats,Mixed,Multiple agent modules and environments,Survey,Surveyed systems,Trustworthiness taxonomy,Survey,Not applicable,Surveyed literature,Multiple,Not applicable,Places deceptive environmental influence within extrinsic trustworthiness; our work operationalizes one controlled intervention layer.
ning2025webagentssurvey,WebAgents survey,Web-agent reliability and trustworthiness,Mixed,Web environments,Survey,Surveyed systems,Capability and trustworthiness taxonomy,Survey,Not applicable,Surveyed literature,Multiple,Not applicable,Provides broad web-agent context while our contribution is safe-path evaluation under deceptive interfaces.
guo2026hidden,Hidden-in-Plain-Text,Social-web indirect prompt injection,Benign,Social web and RAG,Not established in Guide summary,Multiple models,Prompt-injection success,Evaluation benchmark,End-to-end harness,None reported in Guide summary,Information integrity and security,Artifact reported,Targets RAG ingestion threats rather than interactive GUI choice architecture.
kim2026agenticshop,AgenticShop,Open-web personalization and capability,Benign,Open web shopping,Not established in Guide summary,Multiple agents,Product-curation quality,Evaluation benchmark,Benchmark scorer,None reported in Guide summary,Consumer interest and information quality,Artifact reported,Evaluates shopping capability and personalization rather than whether nominal purchase completion protects stakeholder interests.
song2026colorbench,ColorBench,Long-horizon mobile complexity,Benign,Mobile applications,Not established in Guide summary,Multiple mobile agents,Graph-structured task success,Evaluation benchmark,Graph/path checks,None reported in Guide summary,Operational and policy constraints,Artifact reported,Supports future path-aware scaling; our current pilot is short-horizon and intervention-focused.
levy2024stwebagentbench,ST-WebAgentBench,Policy and environmental risk,Benign,WebArena-derived web environment,Not established in Guide summary,Multiple web agents,Completion Under Policy and Risk Ratio,Evaluation benchmark,Policy and task checks,None reported in Guide summary,Policy; privacy; financial; safety,Artifact reported,Closest bridge from binary success to policy-compliant completion but does not compare matched execution-time warning channels.
cuvin2025decepticon,DECEPTICON,Dark-pattern interfaces,Benign,Web environment,Large-scale benchmark,Multiple web agents,Per-pattern susceptibility,Evaluation benchmark,Benchmark scorer,None reported in Guide summary,Financial; consent; autonomy,Artifact status not established in Guide summary,Measures susceptibility at scale while our pilot evaluates an auditable intervention with four-way outcomes.
humanoversight2025,Dark Patterns Meet GUI Agents,Manipulative interfaces,Benign,GUI and web tasks,Not established in Guide summary,LLM agents and human-AI teams,Unsafe choice and oversight outcome,Human oversight,Mixed benchmark and human measurement,Yes,Financial; privacy; consent; autonomy,Artifact status not established in Guide summary,Motivates human calibration but cannot serve as a human baseline for our separately designed pilot.
cao2025vpi,VPI-Bench,Visual prompt injection,Benign,Computer-use and browser-use environments,Not established in Guide summary,Multiple multimodal agents,Visual injection success,Prompt defenses,Benchmark scorer,None reported in Guide summary,Security; privacy; information integrity,Artifact status not established in Guide summary,Studies embedded attacker instructions rather than deceptive UI paths and warning delivery.
chen2025fineprint,Fine-Print Injections,Contextually embedded GUI instructions,Benign,GUI applications,Not established in Guide summary,Six agents,Injection success and privacy violation,Human oversight and prompt defenses,Mixed automated and human evaluation,Yes,Privacy and contextual integrity,Artifact status not established in Guide summary,Studies fine-print injection and humans; our task risk is encoded in terminal-state choices without a human comparison.
korgul2025trap,TRAP,Persuasive task-redirection content,Benign,Web interfaces,Not established in Guide summary,Multiple web agents,Task redirection success,Evaluation benchmark,Benchmark scorer,None reported in Guide summary,Autonomy and information integrity,Artifact status not established in Guide summary,Separates persuasive injection from deceptive choice architecture and safeguard evaluation.
gray2018darkpatterns,Gray et al. 2018,Deceptive interface design,Benign,Human-facing interfaces,Qualitative taxonomy,Not applicable,Pattern taxonomy,None,Qualitative analysis,Human-centered study,Autonomy; consent; financial,Publication materials,Provides foundational HCI categories rather than agent behavior or intervention evidence.
mathur2021makes,Mathur et al. 2021,Deceptive interface design,Benign,Human-facing interfaces,Conceptual and empirical analysis,Not applicable,Normative attributes and measurements,None,Human-centered analysis,Human-centered study,Autonomy; consent; financial,Publication materials,Provides normative criteria for dark patterns; our benchmark encodes machine-verifiable unsafe actions without severity weights.
nouwens2020gdpr,Nouwens et al. 2020,Cookie-consent dark patterns,Benign,Live websites and consent dialogs,Consent pop-up corpus,Not applicable,Consent choice influence,None,Scraping and user-study measures,Yes,Privacy and informed consent,Publication materials,Grounds cookie-consent harm while our synthetic task tests web-agent completion paths.
luguri2021shining,Luguri and Strahilevitz 2021,Dark-pattern interfaces,Benign,Consumer interfaces,Human experiments,Not applicable,Consumer choice and welfare effects,None,Human-study measures,Yes,Financial; autonomy; consent,Publication materials,Provides legal and behavioral evidence of human harm but no web-agent or warning-channel experiment.
wallace2024instruction,Instruction Hierarchy,Conflicting lower-priority instructions,Mixed,Language-model instruction following,Not established in Guide summary,Trained and evaluated LLMs,Instruction-priority adherence,Model training,Automated benchmark,None reported in Guide summary,Security and instruction integrity,Preprint artifact status not established in Guide summary,Motivates privileged-channel reasoning but does not evaluate visual deceptive interfaces or terminal-state harms.
zhou2023webarena,WebArena,General web task complexity,Benign,Self-hosted web applications,812,Multiple LLM agents,Task success,None,Programmatic and functional checks,None,General capability,Artifact reported,Establishes reproducible web capability evaluation but collapses safe and unsafe completion paths.
koh2024visualwebarena,VisualWebArena,General multimodal web task complexity,Benign,Self-hosted visual web applications,910,Multiple multimodal agents,Task success,None,Programmatic and functional checks,None,General capability,Artifact reported,Adds visual realism but does not annotate stakeholder harms or test execution-time safeguards.
